Status,,,,
,Manhwa Name,Chapters,Status,Link 
,Bully in Charge,177,ONGOING,https://mangafire.to/manga/designated-bullyy.9oj2x
,Your Talent is Mine,106,ONGOING,https://mangafire.to/manga/your-talent-is-minee.4qpwj
,Cleaning Clever Life of Hunter,147,ONGOING,https://mangafire.to/manga/the-dungeon-cleaning-life-of-a-once-genius-hunterr.pj9lj
,I Reincarnated as Crazed Heir,187,ONGOING,https://mangafire.to/manga/reincarnated-as-an-unruly-heirr.n317l
,Return of the Legend,192,ONGOING,https://mangafire.to/manga/the-legendary-returnn.v5pj6
,Real Man,245,ONGOING,https://mangafire.to/manga/sangnamjaa.kwyx9
,Youngest Son of Conglomerate,197,ONGOING,https://mangafire.to/manga/reborn-richh.37jk9
,The Hero Returns,150,ONGOING,https://mangafire.to/manga/the-hero-returnss.mqpxz
,Baek XX,169,ONGOING,https://comix.to/title/emee-baek-xx
,The Constellations Are My Disciples,140,ONGOING,https://mangafire.to/manga/the-constellations-are-my-discipless.0rnvr
,Revenge of Iron-Blooded Sword Hound,159,ONGOING,https://mangafire.to/manga/return-of-the-iron-blooded-houndd.jpvky
,Logging 10000 Years into Future,309,ONGOING,https://mangafire.to/manga/gao-wu-denglu-weilai-yi-wan-niann.qk46w
,Disastrous Necromancer,263,ONGOING,https://mangafire.to/manga/si-ling-fashi-wo-ji-shi-tianzaii.3p969
,Reincarnated Assassin is Genius,84,ONGOING,https://mangafire.to/manga/the-reincarnated-assassin-is-a-genius-swordsmann.lrykn
,Terminally Ill Genius Knight,143,ONGOING,https://mangafire.to/manga/terminally-ill-genius-dark-knightt.mvv9x
,Police Returner Reset,129,ONGOING,https://mangafire.to/manga/reset-life-of-regression-policee.7wnoy
,Heavenly Demon Can't Live a Normal Life,194,ONGOING,https://mangafire.to/manga/the-heavenly-demon-cant-live-a-normal-lifee.zlnn3
,Lookism,603,ONGOING,https://mangafire.to/manga/lookismm.rjoy
,Frozen Player,204,ONGOING,https://mangafire.to/manga/return-of-the-frozen-playerr.zl72w
,Player Hides Past,113,ONGOING,https://mangafire.to/manga/the-player-hides-his-pastt.2pwvl
,I Killed an Academy Player,120,ONGOING,https://mangafire.to/manga/i-killed-an-academy-playerr.pp164
,Knight King,155,ONGOING,https://mangafire.to/manga/the-knight-king-who-returned-with-a-godd.8x22o
,Reincarnated cop strikes with wealth,67,ONGOING,https://mangafire.to/manga/the-reincarnated-cop-who-strikes-with-wealthh.k3rmr
,The regressed mercenary machinations ,80,ONGOING,https://mangafire.to/manga/the-regressed-mercenarys-machinationss.w5x0o
